group,category,code,long description,short description
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0389,Ultrasound b-scan and/or real time with image documentation; for abdominal aortic aneurysm (aaa) screening,"HCPCS G0389 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0390,Trauma response team associated with hospital critical care service,Trauma respons w/hosp criti
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0396,"Alcohol and/or substance (other than tobacco) misuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes",Alcohol/subs interv 15-30mn
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0397,"Alcohol and/or substance (other than tobacco) misuse structured assessment (e.g., audit, dast), and intervention, greater than 30 minutes",Alcohol/subs interv >30 min
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0398,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation",Home sleep test/type 2 porta
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",Home sleep test/type 3 porta
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0400,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels",Home sleep test/type 4 porta
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0402,"Initial preventive physical examination; face-to-face visit, services limited to new beneficiary during the first 12 months of medicare enrollment",Initial preventive exam
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0403,"Electrocardiogram, routine ecg with 12 leads; performed as a screening for the initial preventive physical examination with interpretation and report",Ekg for initial prevent exam
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0404,"Electrocardiogram, routine ecg with 12 leads; tracing only, without interpretation and report, performed as a screening for the initial preventive physical examination",Ekg tracing for initial prev
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0405,"Electrocardiogram, routine ecg with 12 leads; interpretation and report only, performed as a screening for the initial preventive physical examination",Ekg interpret & report preve
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0406,"Follow-up inpatient consultation, limited, physicians typically spend 15 minutes communicating with the patient via telehealth",Inpt/tele follow up 15
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0407,"Follow-up inpatient consultation, intermediate, physicians typically spend 25 minutes communicating with the patient via telehealth",Inpt/tele follow up 25
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0408,"Follow-up inpatient consultation, complex, physicians typically spend 35 minutes communicating with the patient via telehealth",Inpt/tele follow up 35
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0409,"Social work and psychological services, directly relating to and/or furthering the patient's rehabilitation goals, each 15 minutes, face-to-face; individual (services provided by a corf-qualified social worker or psychologist in a corf)",Corf related serv 15 mins ea
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0410,"Group psychotherapy other than of a multiple-family group, in a partial hospitalization or intensive outpatient setting, approximately 45 to 50 minutes",Grp psych php/iop 45-50
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0411,"Interactive group psychotherapy, in a partial hospitalization or intensive outpatient setting, approximately 45 to 50 minutes",Interactive grp psyc php/iop
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0412,"Open treatment of iliac spine(s), tuberosity avulsion, or iliac wing fracture(s), unilateral or bilateral for pelvic bone fracture patterns which do not disrupt the pelvic ring includes internal fixation, when performed",Open tx iliac spine uni/bil
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0413,"Percutaneous skeletal fixation of posterior pelvic bone fracture and/or dislocation, for fracture patterns which disrupt the pelvic ring, unilateral or bilateral, (includes ilium, sacroiliac joint and/or sacrum)",Pelvic ring fracture uni/bil
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0414,"Open treatment of anterior pelvic bone fracture and/or dislocation for fracture patterns which disrupt the pelvic ring, unilateral or bilateral, includes internal fixation when performed (includes pubic symphysis and/or superior/inferior rami)",Pelvic ring fx treat int fix
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0415,"Open treatment of posterior pelvic bone fracture and/or dislocation, for fracture patterns which disrupt the pelvic ring, unilateral or bilateral, includes internal fixation, when performed (includes ilium, sacroiliac joint and/or sacrum)",Open tx post pelvic fxcture
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0416,"Surgical pathology, gross and microscopic examinations, for prostate needle biopsy, any method","Prostate biopsy, any mthd"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0417,"Surgical pathology, gross and microscopic examination, for prostate needle  biopsy, any method, 21-40 specimens","HCPCS G0417 terminated on December 31, 2014."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0418,"Surgical pathology, gross and microscopic examination, for prostate needle  biopsy, any method, 41-60 specimens","HCPCS G0418 terminated on December 31, 2014."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0419,"Surgical pathology, gross and microscopic examination, for prostate needle  biopsy, any method, >60 specimens","HCPCS G0419 terminated on December 31, 2014."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0420,"Face-to-face educational services related to the care of chronic kidney disease; individual, per session, per one hour",Ed svc ckd ind per session
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0421,"Face-to-face educational services related to the care of chronic kidney disease; group, per session, per one hour",Ed svc ckd grp per session
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0422,"Intensive cardiac rehabilitation; with or without continuous ecg monitoring with exercise, per session",Intens cardiac rehab w/exerc
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0423,"Intensive cardiac rehabilitation; with or without continuous ecg monitoring; without exercise, per session",Intens cardiac rehab no exer
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0424,"Pulmonary rehabilitation, including exercise (includes monitoring), one hour, per session, up to two sessions per day","HCPCS G0424 terminated on December 31, 2021."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0425,"Telehealth consultation, emergency department or initial inpatient, typically 30 minutes communicating with the patient via telehealth",Inpt/ed teleconsult30
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0426,"Telehealth consultation, emergency department or initial inpatient, typically 50 minutes communicating with the patient via telehealth",Inpt/ed teleconsult50
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0427,"Telehealth consultation, emergency department or initial inpatient, typically 70 minutes or more communicating with the patient via telehealth",Inpt/ed teleconsult70
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0428,"Collagen meniscus implant procedure for filling meniscal defects (e.g., cmi, collagen scaffold, menaflex)",Collagen meniscus implant
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0429,"Dermal filler injection(s) for the treatment of facial lipodystrophy syndrome (lds) (e.g., as a result of highly active antiretroviral therapy)",Dermal filler injection(s)
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0431,"Drug screen, qualitative; multiple drug classes by high complexity test method (e.g., immunoassay, enzyme assay), per patient encounter","HCPCS G0431 terminated on December 31, 2015."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0432,"Infectious agent antibody detection by enzyme immunoassay (eia) technique, hiv-1 and/or hiv-2, screening",Eia hiv-1/hiv-2 screen
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0433,"Infectious agent antibody detection by enzyme-linked immunosorbent assay (elisa) technique, hiv-1 and/or hiv-2, screening",Elisa hiv-1/hiv-2 screen
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0434,"Drug screen, other than chromatographic; any number of drug classes, by clia waived test or moderate complexity test, per patient encounter","HCPCS G0434 terminated on December 31, 2015."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0435,"Infectious agent antibody detection by rapid antibody test, hiv-1 and/or hiv-2, screening",Oral hiv-1/hiv-2 screen
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0436,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intermediate, greater than 3 minutes, up to 10 minutes","HCPCS G0436 terminated on September 30, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0437,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes","HCPCS G0437 terminated on September 30, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0438,"Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit","Ppps, initial visit"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0439,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit","Ppps, subseq visit"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0442,"Annual alcohol misuse screening, 5 to 15 minutes",Annual alcohol screen 15 min
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0443,"Brief face-to-face behavioral counseling for alcohol misuse, 15 minutes",Brief alcohol misuse counsel
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0444,"Annual depression screening, 5 to 15 minutes",Depression screen annual
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0445,"High intensity behavioral counseling to prevent sexually transmitted infection; face-to-face, individual, includes: education, skills training and guidance on how to change sexual behavior; performed semi-annually, 30 minutes",High inten beh couns std 30m
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0446,"Annual, face-to-face intensive behavioral therapy for cardiovascular disease, individual, 15 minutes",Intens behave ther cardio dx
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0447,"Face-to-face behavioral counseling for obesity, 15 minutes",Behavior counsel obesity 15m
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0448,"Insertion or replacement of a permanent pacing cardioverter-defibrillator system with transvenous lead(s), single or dual chamber with insertion of pacing electrode, cardiac venous system, for left ventricular pacing",Place perm pacing cardiovert
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0451,"Development testing, with interpretation and report, per standardized instrument form",Devlopment test interpt&rep
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0452,Molecular pathology procedure; physician interpretation and report,Molecular pathology interpr
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0453,"Continuous intraoperative neurophysiology monitoring, from outside the operating room (remote or nearby), per patient, (attention directed exclusively to one patient) each 15 minutes (list in addition to primary procedure)",Cont intraop neuro monitor
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0454,"Physician documentation of face-to-face visit for durable medical equipment determination performed by nurse practitioner, physician assistant or clinical nurse specialist",Md document visit by npp
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0455,"Preparation with instillation of fecal microbiota by any method, including assessment of donor specimen",Fecal microbiota prep instil
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0456,"Negative pressure wound therapy, (e.g. vacuum assisted drainage collection) using a mechanically-powered device, not durable medical equipment, including provision of cartridge and dressing(s), topical application(s), wound assessment, and instructions for ongoing care, per session; total wounds(s) surface area less than or equal to 50 square centimeters","HCPCS G0456 terminated on December 31, 2014."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0457,"Negative pressure wound therapy, (e.g. vacuum assisted drainage collection) using a mechanically-powered device, not durable medical equipment, including provision of cartridge and dressing(s), topical application(s), wound assessment, and instructions for ongoing care, per session; total wounds(s) surface area greater than 50 square centimeters","HCPCS G0457 terminated on December 31, 2014."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0458,"Low dose rate (ldr) prostate brachytherapy services, composite rate",Ldr prostate brachy comp rat
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0459,"Inpatient telehealth pharmacologic management, including prescription, use, and review of medication with no more than minimal medical psychotherapy",Telehealth inpt pharm mgmt
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0460,"Autologous platelet rich plasma or other blood-derived product for non-diabetic chronic wounds/ulcers, including as applicable phlebotomy, centrifugation or mixing, and all other preparatory procedures, administration and dressings, per treatment",Autolog prp not diab ulcer
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0461,"Immunohistochemistry or immunocytochemistry, per specimen; first single or multiplex antibody stain","HCPCS G0461 terminated on December 31, 2014."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0462,"Immunohistochemistry or immunocytochemistry, per specimen; each additional single or multiplex antibody stain (list separately in addition to code for primary procedure)","HCPCS G0462 terminated on December 31, 2014."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0463,Hospital outpatient clinic visit for assessment and management of a patient,Hospital outpt clinic visit
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0464,"Colorectal cancer screening; stool-based dna and fecal occult hemoglobin (e.g., kras, ndrg4 and bmp3)","HCPCS G0464 terminated on December 31, 2015."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0465,"Autologous platelet rich plasma (prp) or other blood-derived product for diabetic chronic wounds/ulcers, using an fda-cleared device for this indication, (includes as applicable administration, dressings, phlebotomy, centrifugation or mixing, and all other preparatory procedures, per treatment)",Autolog prp diab wound ulcer
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0466,"Federally qualified health center (fqhc) visit, new patient; a medically-necessary, face-to-face encounter (one-on-one) between a new patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a fqhc visit",Fqhc visit new patient
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0467,"Federally qualified health center (fqhc) visit, established patient; a medically-necessary, face-to-face encounter (one-on-one) between an established patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a fqhc visit","Fqhc visit, estab pt"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0468,"Federally qualified health center (fqhc) visit, ippe or awv; a fqhc visit that includes an initial preventive physical examination (ippe) or annual wellness visit (awv) and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving an ippe or awv","Fqhc visit, ippe or awv"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0469,"Federally qualified health center (fqhc) visit, mental health, new patient; a medically-necessary, face-to-face mental health encounter (one-on-one) between a new patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a mental health visit","Fqhc visit, mh new pt"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0470,"Federally qualified health center (fqhc) visit, mental health, established patient; a medically-necessary, face-to-face mental health encounter (one-on-one) between an established patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a mental health visit","Fqhc visit, mh estab pt"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0471,Collection of venous blood by venipuncture or urine sample by catheterization from an individual in a skilled nursing facility (snf) or by a laboratory on behalf of a home health agency (hha),Ven blood coll snf/hha
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0472,"Hepatitis c antibody screening, for individual at high risk and other covered indication(s)",Hep c screen high risk/other
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0473,"Face-to-face behavioral counseling for obesity, group (2-10), 30 minutes",Group behave couns 2-10
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0475,"Hiv antigen/antibody, combination assay, screening",Hiv combination assay
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0476,"Infectious agent detection by nucleic acid (dna or rna); human papillomavirus (hpv), high-risk types (e.g., 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68) for cervical cancer screening, must be performed in addition to pap test",Hpv combo assay ca screen
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0477,"Drug test(s), presumptive, any number of drug classes; any number of devices or procedures, (e.g., immunoassay) capable of being read by direct optical observation only (e.g., dipsticks, cups, cards, cartridges), includes sample validation when performed, per date of service","HCPCS G0477 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0478,"Drug test(s), presumptive, any number of drug classes; any number of devices or procedures, (e.g., immunoassay) read by instrument-assisted direct optical observation (e.g., dipsticks, cups, cards, cartridges), includes sample validation when performed, per date of service","HCPCS G0478 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0479,"Drug test(s), presumptive, any number of drug classes; any number of devices or procedures by instrumented chemistry analyzers utilizing immunoassay, enzyme assay, tof, maldi, ldtd, desi, dart, ghpc, gc mass spectrometry), includes sample validation when performed, per date of service","HCPCS G0479 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0480,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 1-7 drug class(es), including metabolite(s) if performed",Drug test def 1-7 classes
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0481,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 8-14 drug class(es), including metabolite(s) if performed",Drug test def 8-14 classes
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0482,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 15-21 drug class(es), including metabolite(s) if performed",Drug test def 15-21 classes
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0483,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 22 or more drug class(es), including metabolite(s) if performed",Drug test def 22+ classes
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0490,Face-to-face home health nursing visit by a rural health clinic (rhc) or federally qualified health center (fqhc) in an area with a shortage of home health agencies;  (services limited to rn or lpn only),"Home visit rn, lpn by rhc/fq"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0491,Dialysis procedure at a medicare certified esrd facility for acute kidney injury without esrd,Dialysis acu kidney no esrd
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0492,Dialysis procedure with single evaluation by a physician or other qualified health care professional  for acute kidney injury without esrd,Md/oth eval acut kid no esrd
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0493,"Skilled services of a registered nurse (rn) for the observation and assessment of the patient's condition, each 15 minutes (the change in the patient's condition requires skilled nursing personnel to identify and evaluate the patient's need for possible modification of treatment in the home health or hospice setting)",Rn care ea 15 min hh/hospice
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0494,"Skilled services of a licensed practical nurse (lpn) for the observation and assessment of the patient's condition, each 15 minutes (the change in the patient's condition requires skilled nursing personnel to identify and evaluate the patient's need for possible modification of treatment in the home health or hospice setting)",Lpn care ea 15min hh/hospice
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0495,"Skilled services of a registered nurse (rn), in the training and/or education of a patient or family member, in the home health or hospice setting, each 15 minutes",Rn care train/edu in hh
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0496,"Skilled services of a licensed practical nurse (lpn), in the training and/or education of a patient or family member, in the home health or hospice setting, each 15 minutes",Lpn care train/edu in hh
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0498,"Chemotherapy administration, intravenous infusion technique; initiation of infusion in the office/clinic setting using office/clinic pump/supplies, with continuation of the infusion in the community setting (e.g., home, domiciliary, rest home or assisted living) using a portable pump provided by the office/clinic, includes follow up office/clinic visit at the conclusion of the infusion",Chemo extend iv infus w/pump
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0499,"Hepatitis b screening in non-pregnant, high risk individual includes hepatitis b surface antigen (hbsag), antibodies to hbsag (anti-hbs) and antibodies to hepatitis b core antigen (anti-hbc), and is followed by a neutralizing confirmatory test, when performed, only for an initially reactive hbsag result",Hepb screen high risk indiv
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0500,"Moderate sedation services provided by the same physician or other qualified health care professional performing a gastrointestinal endoscopic service that sedation supports, requiring the presence of an independent trained observer to assist in the monitoring of the patient's level of consciousness and physiological status; initial 15 minutes of intra-service time; patient age 5 years or older (additional time may be reported with 99153, as appropriate)",Mod sedat endo service >5yrs
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0501,"Resource-intensive services for patients for whom the use of specialized mobility-assistive technology (such as adjustable height chairs or tables, patient lift, and adjustable padded leg supports) is medically necessary and used during the provision of an office/outpatient, evaluation and management  visit (list separately in addition to primary service)",Resource-inten svc during ov
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0502,"Initial psychiatric collaborative care management, first 70 minutes in the first calendar month of behavioral health care manager activities, in consultation with a psychiatric consultant, and directed by the treating physician or other qualified health care professional, with the following required elements: outreach to and engagement in treatment of a patient directed by the treating physician or other qualified health care professional; initial assessment of the patient, including administration of validated rating scales, with the development of an individualized treatment plan;  review by the psychiatric consultant with modifications of the plan if recommended;  entering patient in a registry and tracking patient follow-up and progress using the registry, with appropriate documentation, and participation in weekly caseload consultation with the psychiatric consultant; and provision of brief interventions using evidence-based techniques such as behavioral activation, motivational interviewing, and other focused treatment strategies","HCPCS G0502 terminated on December 31, 2017."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0503,"Subsequent psychiatric collaborative care management, first 60 minutes in a subsequent month of behavioral health care manager activities, in consultation with a psychiatric consultant, and directed by the treating physician or other qualified health care professional, with the following required elements:  tracking patient follow-up and progress using the registry, with appropriate documentation;  participation in weekly caseload consultation with the psychiatric consultant;  ongoing collaboration with and coordination of the patient's mental health care with the treating physician or other qualified health care professional and any other treating mental health providers;  additional review of progress and recommendations for changes in treatment, as indicated, including medications, based on recommendations provided by the psychiatric consultant;  provision of brief interventions using evidence-based techniques such as behavioral activation, motivational interviewing, and other focused treatment strategies;  monitoring of patient outcomes using validated rating scales; and relapse prevention planning with patients as they achieve remission of symptoms and/or other treatment goals and are prepared for discharge from active treatment","HCPCS G0503 terminated on December 31, 2017."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0504,"Initial or subsequent psychiatric collaborative care management, each additional 30 minutes in a calendar month of behavioral health care manager activities, in consultation with a psychiatric consultant, and directed by the treating physician or other qualified health care professional (list separately in addition to code for primary procedure);  (use g0504 in conjunction with g0502, g0503)","HCPCS G0504 terminated on December 31, 2017."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0505,"Cognition and functional assessment using standardized instruments with development of recorded care plan for the patient with cognitive impairment, history obtained from patient and/or caregiver, in office or other outpatient setting or home or domiciliary or rest home","HCPCS G0505 terminated on December 31, 2017."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0506,Comprehensive assessment of and care planning for patients requiring chronic care management services (list separately in addition to primary monthly care management service),Comp asses care plan ccm svc
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0507,"Care management services for behavioral health conditions, at least 20 minutes of clinical staff time, directed by a physician or other qualified health care professional, per calendar month, with the following required elements: initial assessment or follow-up monitoring, including the use of applicable validated rating scales; behavioral health care planning in relation to behavioral/psychiatric health problems, including revision for patients who are not progressing or whose status changes; facilitating and coordinating treatment such as psychotherapy, pharmacotherapy, counseling and/or psychiatric consultation; and continuity of care with a designated member of the care team","HCPCS G0507 terminated on December 31, 2017."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0508,"Telehealth consultation, critical care, initial , physicians typically spend 60 minutes communicating with the patient and providers via telehealth",Crit care telehea consult 60
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0509,"Telehealth consultation, critical care, subsequent, physicians typically spend 50 minutes communicating with the patient and providers via telehealth",Crit care telehea consult 50
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0511,"Rural health clinic or federally qualified health center (rhc or fqhc) only, general care management, 20 minutes or more of clinical staff time for chronic care management services or behavioral health integration services directed by an rhc or fqhc practitioner (physician, np, pa, or cnm), per calendar month",Ccm/bhi by rhc/fqhc 20min mo
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0512,"Rural health clinic or federally qualified health center (rhc/fqhc) only, psychiatric collaborative care model (psychiatric cocm), 60 minutes or more of clinical staff time for psychiatric cocm services directed by an rhc or fqhc practitioner (physician, np, pa, or cnm) and including services furnished by a behavioral health care manager and consultation with a psychiatric consultant, per calendar month",Cocm by rhc/fqhc 60 min mo
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0513,"Prolonged preventive service(s) (beyond the typical service time of the primary procedure), in the office or other outpatient setting requiring direct patient contact beyond the usual service; first 30 minutes (list separately in addition to code for preventive service)","Prolong prev svcs, first 30m"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0514,"Prolonged preventive service(s) (beyond the typical service time of the primary procedure), in the office or other outpatient setting requiring direct patient contact beyond the usual service; each additional 30 minutes (list separately in addition to code g0513 for additional 30 minutes of preventive service)","Prolong prev svcs, addl 30m"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0515,"Development of cognitive skills to improve attention, memory, problem solving (includes compensatory training), direct (one-on-one) patient contact, each 15 minutes","HCPCS G0515 terminated on December 31, 2019."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0516,"Insertion of non-biodegradable drug delivery implants, 4 or more (services for subdermal rod implant)","Insert drug del implant, >=4"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G0517,"Removal of non-biodegradable drug delivery implants, 4 or more (services for subdermal implants)",Remove drug implant
